City,Country,Continent,CFI_Group,HDI_Level,Citizen_Adoption,Government_Adoption,Healthcare_Innovation,Tech_Education,Parking_Innovation,Traffic_Management,Clean_Transport,Business_Innovation,ePayments,Internet_Connectivity,Green_Energy,Green_Buildings,Waste_Management,Climate_Response
Melbourne,Australia,Australia,Medium,Top 10,76.54,72.77,87.39,82.91,62.42,81.27,74.26,59.74,82.15,71.81,62.03,86.76,73.24,72.53
Miami,USA,North America,Medium,Rank 11-20,89.05,92.79,83.5,57.43,81.78,75.57,59.06,76.75,73.28,78.09,55.21,87.16,67.91,74.77
Milan,Italy,Europe,Medium,Rank 21-30,68.63,57.62,75.83,55.86,74.65,85.96,97.17,55.87,72.27,69.97,71.77,78.43,72.89,81.37
Minneapolis,USA,North America,Medium,Rank 11-20,83.8,92.38,87.64,61.29,79.78,100,67.53,67.58,73.28,72.97,65.33,89.48,67.91,74.77
Montreal,Canada,North America,Medium,Rank 11-20,82.18,78.77,81.94,71.33,73.41,84.13,81.8,57.92,86.08,71.74,85.62,77.87,71.04,74.48
Nanjing,China,Asia,Low,Rank below 41,51.62,51.8,75.44,72.05,69.32,80.16,85.04,53.92,58.34,65.85,65.55,82.08,50,62.15
New York,USA,North America,High,Rank 11-20,93.62,100,91.64,79.78,75.62,78.84,89.73,87.77,73.28,77.74,65.5,100,67.91,74.77
Osaka,Japan,Asia,Medium,Rank 11-20,74.41,77.32,76.9,58.05,59.96,74.65,93.12,50,68.9,79.31,62.86,88.06,71.07,77.12
Paris,France,Europe,Medium,Rank 21-30,78.49,69.97,85.68,75.2,91.31,76.25,86.85,67.81,81.78,66.31,63.34,84.83,70.54,83.8
Philadelphia,USA,North America,Medium,Rank 11-20,85.5,91.55,83.45,69.12,74.47,83.91,68.7,64.59,73.28,72.66,54.52,90.03,67.91,74.77
Phoenix,USA,North America,Medium,Rank 11-20,77.49,86.96,73.28,58.95,70.99,89.02,69.88,52.61,73.28,72.24,59.25,85.04,67.91,74.77
Rio de Janeiro,Brazil,South America,Low,Rank below 41,63.87,51.75,50,54.99,50,69.1,71.77,50.52,50,67.14,100,82.18,57.39,72.92
Rome,Italy,Europe,Low,Rank 21-30,64.26,57.62,74.05,60.9,65.73,78.27,76.31,50.05,72.27,69.01,71.77,78.33,72.89,81.37
Rotterdam,Netherlands,Europe,High,Top 10,84.11,94.83,80.02,62.01,86,83.53,90.91,52.09,100,78.22,60.99,85.45,71.66,94.7
San Diego,USA,North America,Medium,Rank 11-20,80.44,91.09,87.42,64.88,71.76,91.51,69.57,60.61,73.28,77.59,74.92,86.26,67.91,74.77
San Francisco,USA,North America,High,Rank 11-20,100,98.91,100,73.83,85.59,75.08,67.32,100,73.28,74.16,74.92,90.47,67.91,74.77
Santiago,Chile,South America,Low,Rank below 41,65.85,59.22,61.22,57.05,59.43,82.05,80.65,51.44,52.26,61.94,77.06,80.5,60.62,66.35
Seattle,USA,North America,High,Rank 11-20,89.55,97.29,92.83,66.81,82.34,87.07,69.41,79.93,73.28,75.3,91.96,88.59,67.91,74.77
Seoul,South Korea,Asia,High,Rank below 41,91.33,96.37,84.73,87.67,76.11,73.79,82.56,61.32,82.78,71.35,52.97,82.51,81.88,63.73
Shanghai,China,Asia,Low,Rank below 41,56.37,51.21,82.29,79.57,77.68,76.66,81.93,65.44,58.34,66.11,65.55,83.84,50,62.15
Shenzhen,China,Asia,Low,Rank below 41,54.95,51.7,78.57,69.57,71.27,80.18,84.5,63.1,58.34,65.91,65.55,82.31,50,62.15
Singapore,Singapore,Asia,High,Rank below 41,88.98,94.39,87.05,79.51,65.47,77.87,94.84,73.78,84.5,72.69,50.98,86.6,76.05,100
St. Petersburg,Russia,Europe,Low,Rank below 41,72.74,66.02,59.86,58.67,64.29,50,70.49,50,54.77,64.11,59.4,78.98,59.64,62.02
Sydney,Australia,Australia,Medium,Top 10,78,76.18,89.17,82.45,53.56,70.26,73.44,63,82.15,71.53,62.03,86.8,73.24,72.53
Taipei,Taiwan,Asia,Medium,Rank below 41,82.57,74.24,74.56,64.36,76.22,71.73,98.39,57.12,67.6,79.07,52.98,91.22,100,50
Tokyo,Japan,Asia,High,Rank 11-20,81.68,79.12,84.96,73.51,87.34,66.41,96.75,63.48,68.9,71.35,62.86,88.11,71.07,77.12
Toronto,Canada,North America,High,Rank 11-20,88.69,80.78,87.32,75.94,72.31,78.13,73.24,68.64,86.08,72.74,85.62,80.82,71.04,74.48
Washington D.C.,USA,North America,High,Rank 11-20,90.92,99.95,88.1,65.58,75.27,89.19,70.47,80.35,73.28,74.26,56.96,95.4,67.91,74.77
Wuhan,China,Asia,Low,Rank below 41,50,50,73.85,69.45,59.46,89.78,81.82,54,58.34,66.9,65.55,82.33,50,62.15
